variable,value
ISNIAssigned,51801
assignedConfidence,51801
duplicate-10-records-ZETO,2
duplicate-11-records-ZETO,2
duplicate-12-records-ZETO,3
duplicate-13-records-ZETO,6
duplicate-15-records-ZETO,1
duplicate-2-records-BAnQ,4
duplicate-2-records-BL,1
duplicate-2-records-BLSA,1
duplicate-2-records-BNF,215
duplicate-2-records-BNL,3
duplicate-2-records-BOEK,1
duplicate-2-records-CDR,1
duplicate-2-records-CEDA,14
duplicate-2-records-DAI,6
duplicate-2-records-ETHOS,1
duplicate-2-records-ISNI,50
duplicate-2-records-KBR,1100
duplicate-2-records-LCNACO,62
duplicate-2-records-MUBZ,17
duplicate-2-records-NLN,220
duplicate-2-records-NLS,3
duplicate-2-records-NTA,226
duplicate-2-records-OCLCT,1322
duplicate-2-records-VIAF,673
duplicate-2-records-ZETO,64
duplicate-20-records-ZETO,1
duplicate-23-records-ZETO,1
duplicate-24-records-ZETO,1
duplicate-28-records-ZETO,1
duplicate-3-records-BNF,4
duplicate-3-records-ISNI,2
duplicate-3-records-KBR,5
duplicate-3-records-MUBZ,2
duplicate-3-records-NTA,6
duplicate-3-records-OCLCT,14
duplicate-3-records-VIAF,53
duplicate-3-records-ZETO,30
duplicate-38-records-ZETO,1
duplicate-4-records-CDR,1
duplicate-4-records-CEDA,1
duplicate-4-records-ISNI,1
duplicate-4-records-NLFIN,1
duplicate-4-records-OCLCT,7
duplicate-4-records-VIAF,11
duplicate-4-records-ZETO,21
duplicate-5-records-VIAF,3
duplicate-5-records-ZETO,16
duplicate-6-records-ISNI,1
duplicate-6-records-VIAF,1
duplicate-6-records-ZETO,11
duplicate-7-records-ZETO,5
duplicate-8-records-BOWKER,1
duplicate-8-records-ZETO,2
duplicate-9-records-ZETO,4
duplicate-records-BAnQ,4
duplicate-records-BL,1
duplicate-records-BLSA,1
duplicate-records-BNF,223
duplicate-records-BNL,3
duplicate-records-BOEK,1
duplicate-records-BOWKER,7
duplicate-records-CDR,4
duplicate-records-CEDA,17
duplicate-records-DAI,6
duplicate-records-ETHOS,1
duplicate-records-ISNI,62
duplicate-records-KBR,1110
duplicate-records-LCNACO,62
duplicate-records-MUBZ,21
duplicate-records-NLFIN,3
duplicate-records-NLN,220
duplicate-records-NLS,3
duplicate-records-NTA,238
duplicate-records-OCLCT,1371
duplicate-records-VIAF,829
duplicate-records-ZETO,667
multipleAssociatedCountries,35961
multipleGenders,35961
multipleNationalities,35961
name-language-ara,3
name-language-dut,9
name-language-eng,1
name-language-fre,64
name-language-geo,1
name-language-ger,3
name-language-lat,17
name-language-mac,1
name-language-rus,1
name-language-spa,2
name-language-srp,1
numberOfOrgs,15827
numberOfPersons,35974
organisation,15827
person-associated-AD,9
person-associated-AE,3
person-associated-AF,2
person-associated-AG,4
person-associated-AI,1
person-associated-AL,12
person-associated-AM,2
person-associated-AO,2
person-associated-AR,151
person-associated-AS,1
person-associated-AT,865
person-associated-AU,172
person-associated-AZ,1
person-associated-BA,14
person-associated-BB,2
person-associated-BD,25
person-associated-BE,56163
person-associated-BF,4
person-associated-BG,57
person-associated-BH,1
person-associated-BI,14
person-associated-BJ,2
person-associated-BM,2
person-associated-BO,2
person-associated-BR,429
person-associated-BS,1
person-associated-BY,25
person-associated-BZ,7
person-associated-CA,1926
person-associated-CD,198
person-associated-CF,1
person-associated-CG,20
person-associated-CH,3654
person-associated-CI,7
person-associated-CL,42
person-associated-CM,20
person-associated-CN,143
person-associated-CO,47
person-associated-CR,7
person-associated-CS,89
person-associated-CU,12
person-associated-CV,1
person-associated-CW,11
person-associated-CY,8
person-associated-CZ,543
person-associated-DE,11613
person-associated-DK,579
person-associated-DO,7
person-associated-DZ,20
person-associated-EC,16
person-associated-EE,14
person-associated-EG,103
person-associated-ES,2041
person-associated-ET,6
person-associated-FI,154
person-associated-FO,3
person-associated-FR,29043
person-associated-GA,4
person-associated-GB,6729
person-associated-GE,17
person-associated-GF,3
person-associated-GH,1
person-associated-GL,2
person-associated-GN,2
person-associated-GP,4
person-associated-GQ,13
person-associated-GR,146
person-associated-GT,3
person-associated-GW,22
person-associated-HK,8
person-associated-HN,4
person-associated-HR,305
person-associated-HT,4
person-associated-HU,247
person-associated-ID,58
person-associated-IE,188
person-associated-IL,154
person-associated-IN,160
person-associated-IQ,2
person-associated-IR,16
person-associated-IS,6
person-associated-IT,3493
person-associated-JE,1
person-associated-JM,4
person-associated-JP,662
person-associated-KE,12
person-associated-KH,2
person-associated-KI,768
person-associated-KP,3
person-associated-KR,12
person-associated-KW,2
person-associated-LB,70
person-associated-LI,56
person-associated-LK,5
person-associated-LR,14
person-associated-LT,41
person-associated-LU,575
person-associated-LV,86
person-associated-LY,2
person-associated-MA,18
person-associated-MC,290
person-associated-MD,2
person-associated-ME,1
person-associated-MG,4
person-associated-MK,10
person-associated-ML,6
person-associated-MM,34
person-associated-MN,3
person-associated-MO,1
person-associated-MR,1
person-associated-MT,5
person-associated-MU,2
person-associated-MV,9
person-associated-MX,128
person-associated-MY,2
person-associated-MZ,3
person-associated-NC,1420
person-associated-NE,77
person-associated-NG,10
person-associated-NI,7
person-associated-NL,14275
person-associated-NO,92
person-associated-NP,1
person-associated-NR,2
person-associated-NZ,13
person-associated-PA,2
person-associated-PE,35
person-associated-PF,1
person-associated-PH,5
person-associated-PK,6
person-associated-PL,1735
person-associated-PR,4
person-associated-PT,723
person-associated-PY,7
person-associated-QA,1
person-associated-RE,12
person-associated-RO,106
person-associated-RS,10
person-associated-RU,452
person-associated-RW,25
person-associated-SA,27
person-associated-SC,23
person-associated-SE,367
person-associated-SG,104
person-associated-SI,45
person-associated-SK,63
person-associated-SL,3
person-associated-SN,48
person-associated-SR,18
person-associated-SV,98
person-associated-SY,22
person-associated-SZ,6
person-associated-TD,16
person-associated-TG,1
person-associated-TH,29
person-associated-TJ,6
person-associated-TL,25
person-associated-TN,20
person-associated-TR,124
person-associated-TT,6
person-associated-TW,541
person-associated-TZ,8
person-associated-UA,78
person-associated-UG,5
person-associated-UM,1
person-associated-US,6809
person-associated-UY,13
person-associated-VA,158
person-associated-VC,1
person-associated-VE,46
person-associated-VN,18
person-associated-YT,1
person-associated-ZA,102
person-associated-ZM,7
person-associated-ZW,10
person-nationality-AF,1
person-nationality-AG,1
person-nationality-AL,10
person-nationality-AM,1
person-nationality-AO,2
person-nationality-AR,25
person-nationality-AT,136
person-nationality-AU,19
person-nationality-BA,2
person-nationality-BE,44289
person-nationality-BF,1
person-nationality-BG,22
person-nationality-BI,5
person-nationality-BJ,2
person-nationality-BL,12
person-nationality-BR,24
person-nationality-BY,2
person-nationality-BZ,1
person-nationality-CA,92
person-nationality-CD,47
person-nationality-CG,9
person-nationality-CH,233
person-nationality-CL,11
person-nationality-CM,4
person-nationality-CN,20
person-nationality-CO,6
person-nationality-CU,4
person-nationality-CZ,23
person-nationality-DE,993
person-nationality-DK,16
person-nationality-DZ,2
person-nationality-EC,1
person-nationality-EE,1
person-nationality-EG,15
person-nationality-ES,146
person-nationality-FI,4
person-nationality-FR,2051
person-nationality-GA,2
person-nationality-GB,192
person-nationality-GE,5
person-nationality-GH,1
person-nationality-GR,18
person-nationality-GT,1
person-nationality-HK,1
person-nationality-HR,4
person-nationality-HU,24
person-nationality-ID,7
person-nationality-IE,15
person-nationality-IL,33
person-nationality-IN,23
person-nationality-IQ,3
person-nationality-IR,4
person-nationality-IS,4
person-nationality-IT,348
person-nationality-JO,2
person-nationality-JP,10
person-nationality-KE,1
person-nationality-KR,4
person-nationality-LB,7
person-nationality-LK,1
person-nationality-LT,2
person-nationality-LU,66
person-nationality-LV,3
person-nationality-MA,20
person-nationality-MC,1
person-nationality-MD,1
person-nationality-ME,4
person-nationality-MK,3
person-nationality-ML,1
person-nationality-MQ,1
person-nationality-MX,12
person-nationality-MY,1
person-nationality-NC,8
person-nationality-NE,4
person-nationality-NF,2
person-nationality-NG,4
person-nationality-NL,2021
person-nationality-NO,12
person-nationality-NZ,2
person-nationality-PE,4
person-nationality-PL,65
person-nationality-PR,1
person-nationality-PT,29
person-nationality-PY,2
person-nationality-RO,14
person-nationality-RS,13
person-nationality-RU,44
person-nationality-RW,5
person-nationality-SE,47
person-nationality-SG,3
person-nationality-SI,2
person-nationality-SN,3
person-nationality-SR,5
person-nationality-SY,2
person-nationality-TH,1
person-nationality-TN,2
person-nationality-TR,11
person-nationality-TZ,1
person-nationality-UA,3
person-nationality-US,313
person-nationality-UY,3
person-nationality-VA,4
person-nationality-VE,1
person-nationality-ZA,17
person-nationality-ZW,1
person-nationality-al,1
person-nationality-at,8
person-nationality-au,1
person-nationality-be,4481
person-nationality-belgiÃ«,42
person-nationality-br,2
person-nationality-by,1
person-nationality-ca,6
person-nationality-ch,10
person-nationality-cn,2
person-nationality-de,20
person-nationality-dm,1
person-nationality-es,5
person-nationality-flemish,1
person-nationality-fr,143
person-nationality-gb,8
person-nationality-ht,1
person-nationality-hu,1
person-nationality-il,4
person-nationality-iq,1
person-nationality-it,10
person-nationality-lb,1
person-nationality-lu,6
person-nationality-ma,2
person-nationality-mk,2
person-nationality-nl,39
person-nationality-pl,5
person-nationality-pt,5
person-nationality-rs,1
person-nationality-ru,2
person-nationality-sk,1
person-nationality-tr,1
person-nationality-us,15
person-nationality-uy,1
person-nationality-xx,5
person-nationality-za,2
personOrFiction,35974
responseRecord,51801
source-ALCS,54
source-AMS,10
source-AUVLU,1
source-BAnQ,1197
source-BL,7
source-BLSA,61
source-BNF,25774
source-BNL,76
source-BOEK,498
source-BOWKER,1
source-BOWP,1
source-BTLF,144
source-CASALINI,5
source-CDR,1892
source-CEDA,1660
source-CEDR,3
source-DAI,259
source-ETHOS,33
source-FINSANA,1
source-GOOG,34
source-HARV,7
source-ICLA,1
source-ICON,5
source-IPDA,471
source-ISNI,499
source-JNAM,9
source-KBR,22245
source-KOREA,66
source-LCNACO,19930
source-MUBZ,7289
source-NG,2
source-NLFIN,184
source-NLGRU,7
source-NLL2U,26
source-NLMAA,6
source-NLN,6364
source-NLQGE,18
source-NLQGJ,17
source-NLQGK,10
source-NLQHU,3
source-NLS,790
source-NLVUAMS,6
source-NLWURST,2
source-NTA,19533
source-OCLCT,3056
source-OPENL,141
source-ORCID,22
source-PROL,8
source-PROQ,10
source-QUANSIC,60
source-SCHU,199
source-SNDEXCH,33
source-SWISP,8
source-VIAF,28331
source-WISEBAND,5
source-WMG,12
source-ZETO,499
source-scholarKR,3
unformattedISNINumbers,51801
